uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"69f80420-da1f-4b81-9f15-8147494fff08","2023-02-01","BART_040.basePlot.ltr","D01","BART","BART_040","tower","2022-10-10T16:00Z","2022-10-24T16:00Z","NEON.LTR.BART040.20221024.LVS","NEON.LTR.BART040.20221024.LVS.LIG","A00000154929",1,0.462,18.91,22.53,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
"e3355955-86ba-4886-bcfa-30ae8dc5e250","2023-02-01","BART_073.basePlot.ltr","D01","BART","BART_073","tower","2022-10-10T16:00Z","2022-10-24T16:00Z","NEON.LTR.BART073.20221024.LVS","NEON.LTR.BART073.20221024.LVS.LIG","A00000154944",1,0.465,23.29,20.62,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
"925b4173-d5eb-4484-8c7f-5ddd5185474d","2023-02-01","BART_047.basePlot.ltr","D01","BART","BART_047","tower","2022-10-10T16:00Z","2022-10-24T16:00Z","NEON.LTR.BART047.20221024.LVS","NEON.LTR.BART047.20221024.LVS.LIG","A00000154990",1,0.466,23.15,20.76,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
"4ff7c779-8cc0-4889-9808-e38c2a1458a8","2023-02-01","BART_071.basePlot.ltr","D01","BART","BART_071","tower","2022-10-10T16:00Z","2022-10-24T16:00Z","NEON.LTR.BART071.20221024.LVS","NEON.LTR.BART071.20221024.LVS.LIG","A00000154910",1,0.481,22.43,21.33,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
"2eb00372-d048-45e1-a9ba-c604297a499a","2023-02-01","BART_042.basePlot.ltr","D01","BART","BART_042","tower","2022-10-10T16:00Z","2022-10-24T16:00Z","NEON.LTR.BART042.20221024.LVS","NEON.LTR.BART042.20221024.LVS.LIG","A00000154976",1,0.463,21.85,18.78,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
"35f07e96-101b-424a-b3c4-78398bba8d06","2023-02-01","BART_046.basePlot.ltr","D01","BART","BART_046","tower","2022-10-11T16:00Z","2022-10-25T16:00Z","NEON.LTR.BART046.20221025.LVS","NEON.LTR.BART046.20221025.LVS.LIG","A00000154943",1,0.485,21.91,21.56,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
"bb1f61af-0613-4c7a-be62-141c7c54ddfd","2023-02-01","BART_074.basePlot.ltr","D01","BART","BART_074","tower","2022-10-11T16:00Z","2022-10-25T16:00Z","NEON.LTR.BART074.20221025.LVS","NEON.LTR.BART074.20221025.LVS.LIG","A00000154991",1,0.501,33.85,25.49,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
"ae8a74ed-1d1a-4f7d-baf2-b3f8de600001","2023-02-01","BART_044.basePlot.ltr","D01","BART","BART_044","tower","2022-10-11T16:00Z","2022-10-25T16:00Z","NEON.LTR.BART044.20221025.LVS","NEON.LTR.BART044.20221025.LVS.LIG","A00000154925",1,0.484,24.81,22.62,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
"57e0b094-fb05-41eb-ba98-aa78b1d11223","2023-02-01","BART_036.basePlot.ltr","D01","BART","BART_036","tower","2022-10-11T16:00Z","2022-10-25T16:00Z","NEON.LTR.BART036.20221025.LVS","NEON.LTR.BART036.20221025.LVS.LIG","A00000154977",1,0.471,30.23,25.43,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
"316abb9f-82bb-46ae-93f6-dfbea94cb99b","2023-02-01","BART_050.basePlot.ltr","D01","BART","BART_050","tower","2022-10-11T16:00Z","2022-10-25T16:00Z","NEON.LTR.BART050.20221025.LVS","NEON.LTR.BART050.20221025.LVS.LIG","A00000154958",1,0.462,22.49,20.13,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
